Description,Type
"Mess Room pc at Fowlchurch Depot Leek.

Hi

I have been trying to show the operatives the payroll system and have logged onto the mess room terminal at the depot.  The logon is HPBC_NT\FC.Operatives and the password is MessRoom1!.  It is supposed to take you to the intranet so that they can access the my view system, however after logon it just gives you a blank blue screen and does not allow you to access the intranet.  This did work two weeks ago.

Thanks

Hayley

Hayley A Parker
Hu",Others
"FW: Opti-time

Hi,

When advisors are logging into Opti time https://od-006.therepairexchange.com it is asking about adobe flash player every time they log in.
Are we able to fix this so it is not asking them every time?  See below for 3 print screens.

Thanks
Jo
Customer Services
01538 395462

From: Townsend, Kieran
Sent: 29 November 2017 11:30
To: Morson, Jo
Subject: Opi-time

Hi Jo,

First time on it….

[cid:image001.jpg@01D36905.64155930]

Once you have clicked on the ",Others
"Flexi sheet

Dear Sir / Madam

My flexi sheet needs attention.  The dates are shown as asterisks!

Thanks Julie

Mayor’s Secretary and Personal Assistant to Executive Director, Dai Larner
High Peak Borough Council and Staffordshire Moorlands District Council
P.O. Box 136
Buxton
Derbyshire
SK17 1AQ

Telephone 0345 129 77 77 ext 2016


________________________________
",Others
"FW: Invoice due, number 3315320/NYDU#DOOXJ/2017 (29 Nov 17)

Please see the email received below which is clearly SPAM.  I thought that you wish to be aware of it.

Richard Tuffrey | Regeneration Service

High Peak Borough Council &
Staffordshire Moorlands District Council

PO Box 132, Buxton SK17 1EQ  |  Moorlands House, Stockwell St, Leek ST13 6HQ

0345 129 7777 ext 4143  |  01538 395583  |  07775 695336

-----Original Message-----
From: mrp5050@bhamfld.com [mailto:mrp5050@bhamfl",Others
"TEST

TEST

________________________________
",Others
"Monitor Issues. 

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked. Unlocked account and reset password, customer can now access fine.",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Auto-response

Thank you for contacting Buxton Tourist Information Centre. We aim to answer enquiries within 3 working days.

Opening Hours: We are open every day.

February & March: 11am-4pm
April, May, June: 10.30am-5pm
July & August: 10am-5pm
September: 10.30am-5pm
October & November: 10.30am-4pm
December: 11am-4pm


For immediate help, please find below a list of useful websites to plan your visit to Buxton and the Peak District.

Visit Buxton - Buxton, England's leading Spa ",Others
"Password reset, customer can now log in, Closing Call.

Customer Verified: Yes.",Lockouts
"Monitor at Silverlands

The monitor for the terminal opposite Oliver Bagshaw’s desk keeps on turning itself onto standby. It has been tried on a different terminal and does the same thing. Could you please replace the monitor.

Thanks

Robin Cummings


Geographical and Specialist Service Lead
High Peak Borough Council and Staffordshire Moorlands District Council
Council Depot
Fowlchurch Road
Leek
Staffordshire
ST13 6BH
0345 129 7777

robin.cummings@highpeak.gov.uk<mailto:robin.",Others
"AD account unlock 

Unlocked and all ok - Closing

",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Printing

I am experiencing issues when attempting to print – the system goes into a ‘Not responding’ routine during which the system locks for up to a minute before managing to print.

Could someone please investigate.

Regards Keith

Keith Pointon
Principal Finance Officer (Financial Planning)
Joint Finance Service
High Peak BC and Staffordshire Moorlands DC

01538 395400 ext 4193

Keith.pointon@staffsmoorlands.gov.uk<mailto:Keith.pointon@staffsmoorlands.gov.uk>


___________",Others
"RE: Cllr John Haken - Network Problems

This sounds like the same issue sorted out by Simon Berriman and myself a week or so ago. Thought all resolved and worked.
Helen.

From: Vernon, Linden
Sent: 27 November 2017 15:57
To: Northgate ServiceDesk
Cc: Rourke, Rachel; Gale, Helen
Subject: Cllr John Haken - Network Problems

Hi,

Can you please contact HPBC Cllr John Haken please (tel: 07946533897)?  He is experiencing problems using his works mobile and tablet.  He can’t login to his ",Others
"FW: Netball

Dear Northgate
Would you have a programme that can open the attached for me. We sent out registration forms for parents to complete (for a new netball club starting at Brough Park Leisure Centre) but this form has been returned in a peculiar format.

Have you got something to open or convert it?

Many Thanks
Dave

Dave Stock

Principal Officer – Leisure and Recreation

High Peak Borough Council and Staffordshire Moorlands District Council

David.Stock@highpeak.gov.uk",Others
"Cancel call

Hi

I raised a job yesterday as I was having problems with PARIS, however Christine Green has resolved the problem this morning. Please cancel the job.

Thanks
Helen

________",Others
"FW: New Project

Is this a scam???  It’s got a drop box on the attachment.  I have not opened it.

Thanks Julie

From: Sharesz T. Wilkinson [mailto:officemailalert7@virginmedia.com]
Sent: 28 November 2017 09:24
To: emara.roth; lorna.monsen; feltwellparishclerk; staylor; linda.bissett; fsclerk; nichole.kelly; member.services; faye.cross; gemma.minto; i.stubbs; fawtc; clerk; cllr.sfazackerley; james246carter; kathryn.breadin; ann.townsley; parvati.diyar; clerk; boughtongreys; jdmeadowcroft",Others
"Microsoft Project

STAL-RDS-DT-4

Requires access to Microsoft Project. I checked in applications, but could not locate. Advised to send in a request to the service desk. Closing call.",Others
"working on integra but got error 
""failed to connect to database - database cant be reached

fault resolved itself while on call - closing 




",Others
"Wifi - Pavilion Gardens, Buxton

Hi,

We are experiencing problems accessing corporate and public wifi in the café area of Pavilion Gardens.  As we have a committee meeting due to take place this Wednesday evening in this area can you arrange for these connections to be checked to ensure they are working please?

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Services
High Peak Borough Council & Staffordshire Moorlands District Co",Others
"[Peter called to query an email that he recived that looked iffy and it has an attachement.]

",Others
"Cllr John Haken - Network Problems

Hi,

Can you please contact HPBC Cllr John Haken please (tel: 07946533897)?  He is experiencing problems using his works mobile and tablet.  He can’t login to his tablet and his mobile phone is not accepting emails (the password seems to be out of sync).  There seems to be a problem with his network logins.

Thanks

Linden

Linden Vernon
Senior Officer (Governance & Member Support)
Democratic and Community Services
High Peak Borough Council & Staf",Lockouts
"Paris - Counter Receipting

Hi

I am having problems cashing up today’s session on Paris, I have tried to close and commit the session as normal however the boxes are greyed out. I have tried to log off and back on again but it has made no difference.

Thanks
Helen

________________________________
",Others
"mobile phone

Hello
I seem to have locked myself out of my mobile phone.  Can you help?  I think I’ve forgotten my new passwork


Mandy Pattinson
Senior Elections Officer
High Peak Borough Council and Staffordshire Moorlands District Council

M: 07976753664
T: 01538 395500 or internal 4062
E: mandy.pattinson@highpeak.gov.uk

www.highpeak.gov.uk<http://www.highpeak.gov.uk/>  www.staffsmoorlands.gov.uk<http://www.staffsmoorlands.gov.uk/>


________________________________
Do you ",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"FW: Invoice number 502660199 issue

Hi

I've received the below and attached emails, both  seemingly from Rachael Simpkin. Not sure if the issue is my end or hers!


Thanks

Dan

__________________________
Dr. Daniel McCrory
Senior Pollution Officer
Regulatory Services
Staffordshire Moorlands District Council & High Peak Borough Council
Moorlands House
Stockwell Street
Leek
ST13 6HQ
Direct Dial: 01538 395400 Ext: 4413
Mobile:  07736380776


-----Original Message-----
Fro",Others
"Unable to open Publisher doc

",Others
"RE: Archive mail storage

Approval given should it be needed.

Keith

Keith Parker
Head of Operational Services

High Peak Borough Council/Staffordshire Moorlands District Council

Buxton Town Hall            Moorlands House
Market Place                     Stockwell Street
BUXTON                               Leek
Derbyshire                         Staffordshire
SK17 6EL                              ST13 6HQ

Mob: 07583 016372

keith.parker@highpeak.gov.uk            keith.pa",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Asking for service name - Land Charges

",Others
"RE: Northgate Public Services Call : 3296680

Hi Mark

Did you manage to gain access to the server?

Many thanks
Emma

From: ps_servicedesk@northgateps.com [mailto:ps_servicedesk@northgateps.com]
Sent: 21 November 2017 16:52
To: Thurlby, Emma
Subject: Northgate Public Services Call : 3296680


Email From Northgate Public Services



Call No: 3296680
Your Ref:

Description PARIS Information for IEG4 Payments Forms

On 25 October 2017 at 10:56, Thurlby, Emma <Emma.Thurlby@h",Others
"Password reset, customer can now log in

Customer Verified: Yes

Closing Call",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"USER UNABLE TO ACCESS  IBS SMDC LIVE
SYSTEM SHOWING ACCOUNT DISABLED WHEN ATTEMTPING ACCESS

",Others
